Site (H/C),Plot #,Genus,"Substrate (G, L, P, M)",Sapling count,Seedling count,Notes,,
H,1,Maple,M,4,,,,
H,1,Maple,L,2,,,,
H,1,Maple,G,7,,,,
H,1,Beech,M,4,,,,
H,1,Beech,G,13,1,,,
H,1,Pine,M,,3,,,
H,1,Pine,G,,10,,,
H,2,Maple,M,5,2,,,
H,2,Elm,G,2,0,,,
H,2,Maple,G,1,2,,,
H,2,Oak,G,3,1,,,
H,2,Aspen,G,0,3,,,
H,2,Hawthorne,G,0,1,,,
H,2,Pine,M,0,3,,,
H,2,Pine,G,0,9,,,
H,2,Elm,G,1,0,,,
H,2,Oak,M,1,0,,,
H,3,Maple,G,1,,,,
H,3,Maple,M,1,,,,
H,3,pine,G,,1,,,
H,3,Maple,G,1,,,,
H,3,birch,G,,1,,,
H,4,Beach,M,1,,,,
H,4,maple,G,1,,,,
H,4,maple,G,1,,,,
H,4,Maple,G,1,,,,
H,4,maple,G,1,,,,
H,4,Maple,M,1,,,,
H,4,maple,L,1,,,,
H,4,maple,G,1,,,,
H,4,Oak,G,,1,,,
H,4,maple,G,1,,,,
H,4,PB,M,1,,,,
H,4,BEACH,L,1,,,,
H,4,BEACH,L,1,,,,
H,4,Maple,M,1,,,,
H,4,BEACH,G,1,,,,
H,4,BEACH,M,1,,,,
H,11,Pine,G,12,57,,,
H,11,Pine,L,3,9,,,
H,11,Pine,M,0,4,,,
H,11,Maple,G,0,125,,,
H,11,Maple,L,0,36,,,
H,11,Maple,M,2,6,,,
H,11,Maple,P,0,2,,,
H,11,Birch,G,1,37,,,
H,11,Birch,L,5,0,,,
H,11,Birch,M,0,1,,,
H,11,Birch,P,0,20,,,
H,11,Beech,G,12,8,,,
H,11,Beech,L,4,0,,,
H,11,Hemlock,G,1,0,,,
H,11,Oak,G,0,18,,,
H,11,Oak,L,0,6,,,
H,21,Pine,G,6,40,,,
H,21,Pine,L,-,3,,,
H,21,Pine,P,-,-,,,
H,21,Pine,M,-,1,,,
H,21,Elm,G,-,39,,,
H,21,Elm,L,1,5,,,
H,21,Elm,P,-,-,,,
H,21,Elm,M,3,3,,,
H,21,Maple,G,1,21,,,
H,21,Maple,L,-,-,,,
H,21,Maple,P,-,-,,,
H,21,Maple,M,-,-,,,
H,21,Oak,G,-,16,,,
H,21,Oak,L,-,1,,,
H,21,Oak,P,-,-,,,
H,21,Oak,M,-,1,,,
H,31,Birch,G,21,34,,,
H,31,Birch,L,,8,,,
H,31,Birch,P,,2,,,
H,31,Birch,M,,18,,,
H,31,Maple,G,1,42,,,
H,31,Maple,L,,10,,,
H,31,Maple,P,,,,,
H,31,Maple,M,,5,,,
H,31,Oak,G,,31,,,
H,31,Oak,L,,5,,,
H,31,Oak,P,,,,,
H,31,Oak,M,,9,,,
H,31,Hickory,G,,1,,,
H,31,Hickory,L,,,,,
H,31,Hickory,P,,,,,
H,31,Hickory,M,,,,,
H,31,Pine,G,14,10,,,
H,31,Pine,L,,5,,,
H,31,Pine,P,,,,,
H,31,Pine,M,,2,,,
H,31,Beech,G,3,1,,,
H,31,Beech,L,,,,,
H,31,Beech,P,,,,,
H,31,Beech,M,,,,,
H,201,oak,g,1,,,,
H,201,hornbeam,g,10,,,,
H,201,birch,l,2,,,,
H,201,hornbeam,m,1,,,,
H,201,hb,P,1,,,,
H,201,birch,m,1,,,,
H,201,maple,g,2,,,,
H,201,beech,g,1,,,,
H,201,pine,g,0,2,,,
H,201,hornbeam,g,,3,,,
H,201,birch,g,,10,,,
H,201,hornbeam,m,,2,,,
H,201,hornbeam,l,,1,,,
H,201,oak,g,,1,,,
H,202,Birch,G,8,3,,,
H,202,Maple,M,4,0,,,
H,202,Birch,M,10,5,,,
H,202,Maple,G,3,0,,,
H,202,Pine,M,3,3,,,
H,202,Maple,L,2,0,,,
H,202,Pine,G,1,5,,,
H,202,Birch,L,2,2,,,
H,203,Maple,M,4,1,,,
H,203,Maple,G,1,0,,,
H,203,Birch,M,9,1,,,
H,203,Pine,L,1,0,,,
H,203,Birch,L,3,0,,,
H,203,Maple,L,2,0,,,
H,203,Pine,M,0,1,,,
H,203,Pine,G,1,0,,,
H,204,Maple,G,10,3,,,
H,204,Birch,G,3,0,,,
H,204,Maple,M,4,1,,,
H,204,Maple,L,1,1,,,
H,204,Birch,L,0,1,,,
H,204,Maple,P,0,1,,,
C,1,Pine,G,,8,,,
C,1,Birch,M,,2,,,
C,1,Pine,M,,1,,,
C,1,Maple,G,1,,,,
C,1,Hemlock,G,1,,,,
c,2,Maple,G,1,,"Maple stands for red maple, maple stands for sugar maple, pine stands for pine, birch stands for yellow birch",,
c,2,Beach,G,,1,,,
c,2,Beach,G,,1,,,
c,2,Beach,G,,1,,,
c,2,Maple,G,1,,,,
c,2,maple,G,1,,,,
c,2,Beach,G,,1,,,
c,2,Maple,G,1,,,,
c,2,Beach,G,1,,,,
c,2,Beach,G,1,,,,
c,2,Beach,G,1,,,,
c,2,Maple,G,,1,,,
c,2,Maple,G,1,,,,
c,2,Maple,G,1,,,,
c,2,Maple,G,,1,,,
C,3,Beech,G,1,15,,,
C,3,Maple,G,0,3,,,
C,3,Hawthorne,G,0,1,,,
C,3,Oak,G,0,1,,,
C,11,Pine,G,2,35,,,
C,11,Maple,G,2,72,,,
C,11,Birch,G,0,34,,,
C,11,Beech,G,2,0,,,
C,11,Oak,G,0,16,,,
C,21,Pine,G,-,11,,,
C,21,Pine,L,-,-,,,
C,21,Pine,P,-,-,,,
C,21,Pine,M,-,-,,,
C,21,Elm,G,2,125,,,
C,21,Elm,L,-,1,,,
C,21,Elm,P,-,-,,,
C,21,Elm,M,-,2,,,
C,21,Maple,G,1,29,,,
C,21,Maple,L,-,-,,,
C,21,Maple,P,-,-,,,
C,21,Maple,M,-,-,,,
C,21,Oak,G,-,11,,,
C,21,Oak,L,-,-,,,
C,21,Oak,P,-,-,,,
C,21,Oak,M,-,-,,,
C,31,Birch,G,4,25,,,
C,31,Birch,L,,4,,,
C,31,Birch,P,,,,,
C,31,Birch,M,,,,,
C,31,Pine,G,7,76,,,
C,31,Pine,L,,3,,,
C,31,Pine,P,,,,,
C,31,Pine,M,,,,,
C,31,Oak,G,,83,,,
C,31,Oak,L,,8,,,
C,31,Oak,P,,,,,
C,31,Oak,M,,,,,
C,31,Hickory,G,,6,,,
C,31,Hickory,L,,,,,
C,31,Hickory,P,,,,,
C,31,Hickory,M,,,,,
C,31,Maple,G,4,81,,,
C,31,Maple,L,,9,,,
C,31,Maple,P,,,,,
C,31,Maple,M,,3,,,
C,31,Beech,G,,,,,
C,31,Beech,L,,,,,
C,31,Beech,P,,,,,
C,31,Beech,M,,,,,
C,201,beech,g,1,,,,
C,201,hornbeam,g,15,,,,
C,201,hornbeam,g,,14,,,
C,201,beech,g,,8,,,
C,202,birch,g,,17,,,
C,202,maple,g,,17,,,
C,202,maple,g,5,,,,
C,202,pine,g,1,,,,
C,202,pine,g,,6,,,
C,203,Maple,P,1,0,,,
C,203,Pine,G,1,0,,,
C,203,Birch,G,12,0,,,
C,203,Maple,G,10,0,,,
C,203,Hickory,G,1,0,,,
C,203,Oak,G,1,0,,,
C,204,Birch,G,8,0,,,
C,204,Birch,M,1,0,,,
C,204,Maple,G,3,0,,,
C,204,Birch,G,0,22,,,
C,204,Maple,G,0,15,,,
C,204,Oak,G,0,4,,,
